Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-22T20:12:40.437487,393,442,2252,20.62900763358779,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-22T20:12:41.644718,166,192,1103,23.920481927710842,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-22T20:12:42.855171,669,623,3164,17.02600896860987,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-22T20:12:44.064302,572,632,5652,35.572027972027975,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-22T20:12:45.276533,259,286,1575,21.89189189189189,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-22T20:12:46.488523,279,331,1424,18.374193548387098,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-22T20:12:47.690327,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-22T20:12:48.874790,168,180,615,13.178571428571427,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-22T20:12:50.064496,257,278,1050,14.708171206225682,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-22T20:12:51.248437,93,111,768,29.729032258064517,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-22T20:12:52.450772,243,272,1110,16.444444444444446,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-22T20:12:53.631890,267,236,967,13.038202247191009,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-22T20:42:54.992785,377,442,2252,21.504509283819633,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-22T20:42:56.213304,168,192,1103,23.635714285714283,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-22T20:42:57.423674,581,623,3164,19.604819277108433,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-22T20:42:58.781051,522,632,5652,38.97931034482759,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-22T20:42:59.984256,252,286,1575,22.499999999999996,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-22T20:43:01.188702,332,365,1411,15.3,13.916712328767124
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-22T20:43:02.407246,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-22T20:43:03.590352,161,180,615,13.751552795031056,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-22T20:43:04.778404,310,342,1236,14.353548387096774,13.010526315789473
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-22T20:43:05.970636,99,111,768,27.92727272727273,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-22T20:43:07.162410,241,272,1110,16.58091286307054,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-22T20:43:08.368882,240,236,967,14.504999999999999,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-22T21:13:09.727840,366,442,2252,22.15081967213115,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-22T21:13:10.925183,165,192,1103,24.065454545454546,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-22T21:13:12.138015,558,623,3164,20.412903225806453,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-22T21:13:13.344468,534,632,5652,38.103370786516855,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-22T21:13:14.559610,237,286,1575,23.924050632911396,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-22T21:13:15.745694,281,331,1424,18.24341637010676,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-22T21:13:16.930946,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-22T21:13:18.133053,162,180,615,13.666666666666668,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-22T21:13:19.347193,313,342,1236,14.215974440894568,13.010526315789473
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-22T21:13:20.555391,93,111,768,29.729032258064517,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-22T21:13:21.746835,223,272,1110,17.919282511210763,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-22T21:13:22.952540,225,236,967,15.472,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-22T21:43:24.312388,382,442,2252,21.22303664921466,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-22T21:43:25.528817,166,192,1103,23.920481927710842,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-22T21:43:26.742648,555,623,3164,20.523243243243243,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-22T21:43:27.939198,522,632,5652,38.97931034482759,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-22T21:43:29.147115,236,286,1575,24.025423728813557,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-22T21:43:30.364000,324,365,1411,15.677777777777779,13.916712328767124
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-22T21:43:31.552516,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-22T21:43:32.736612,166,180,615,13.337349397590362,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-22T21:43:33.928417,285,342,1236,15.612631578947369,13.010526315789473
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-22T21:43:35.111857,100,111,768,27.648000000000003,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-22T21:43:36.326246,216,272,1110,18.500000000000004,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-22T21:43:37.512074,267,236,967,13.038202247191009,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-22T22:13:38.869112,391,442,2252,20.73452685421995,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-22T22:13:40.072279,155,192,1103,25.61806451612903,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-22T22:13:41.427708,528,623,3164,21.572727272727274,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-22T22:13:42.627997,495,632,5652,41.10545454545454,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-22T22:13:43.829042,230,286,1575,24.65217391304348,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-22T22:13:45.016079,262,331,1424,19.56641221374046,15.487613293051359
