Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-26T21:01:01.479773,613,442,2252,13.225448613376837,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-26T21:01:02.681216,166,192,1103,23.920481927710842,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-26T21:01:03.887120,848,757,3327,14.124056603773585,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-26T21:01:05.092870,1260,890,5419,15.482857142857146,21.919550561797752
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-26T21:01:06.301672,277,286,1575,20.469314079422382,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-26T21:01:07.513333,314,331,1424,16.326114649681525,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-26T21:01:08.739401,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-26T21:01:09.937218,165,180,615,13.41818181818182,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-26T21:01:11.157468,261,278,1050,14.482758620689657,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-26T21:01:12.356039,98,111,768,28.212244897959184,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-26T21:01:13.558298,456,272,1110,8.763157894736842,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-26T21:01:14.738737,253,236,967,13.759683794466405,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-26T21:31:16.105877,604,442,2252,13.422516556291392,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-26T21:31:17.323161,188,192,1103,21.12127659574468,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-26T21:31:18.504205,854,757,3327,14.024824355971896,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-26T21:31:19.688720,645,658,4653,25.970232558139536,25.45714285714286
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-26T21:31:20.889813,264,286,1575,21.477272727272727,19.825174825174827
