Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-19T08:34:37.759483,497,442,2252,16.31227364185111,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-19T08:34:38.906060,198,192,1103,20.054545454545455,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-19T08:34:40.086835,937,623,3164,12.156243329775881,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-19T08:34:41.266275,759,632,5652,26.80790513833992,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-19T08:34:42.459357,236,247,987,15.05593220338983,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-19T08:34:43.841558,239,254,1022,15.394142259414227,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-19T08:34:44.975300,93,111,768,29.729032258064517,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-19T08:34:46.193027,236,282,1220,18.610169491525422,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-19T08:34:47.516836,389,272,1110,10.272493573264782,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-19T08:34:48.738280,46,75,535,41.869565217391305,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-19T08:34:49.937870,289,282,954,11.883737024221453,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-19T08:34:51.279445,84,95,298,12.77142857142857,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-19T08:34:52.487526,43,55,156,13.060465116279069,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-19T09:04:53.796603,656,442,2252,12.358536585365854,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-19T09:04:54.968394,208,192,1103,19.090384615384615,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-19T09:04:56.171723,774,623,3164,14.716279069767443,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-19T09:04:57.349186,1045,632,5652,19.471004784688994,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-19T09:04:58.566075,280,247,987,12.69,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-19T09:04:59.760939,181,260,897,17.840883977900553,12.420000000000002
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-19T09:05:01.057924,97,111,768,28.503092783505156,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-19T09:05:02.254681,253,282,1220,17.359683794466402,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-19T09:05:03.410436,572,272,1110,6.986013986013987,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-19T09:05:04.628978,52,75,535,37.03846153846154,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-19T09:05:05.839403,298,282,954,11.5248322147651,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-19T09:05:07.031233,139,95,298,7.717985611510791,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-19T09:05:08.218935,57,55,156,9.852631578947367,10.210909090909091
