Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-24T09:38:40.929463,728,442,2252,11.136263736263738,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-24T09:38:42.095789,228,192,1103,17.41578947368421,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-24T09:38:43.532758,992,718,3683,13.365725806451614,18.466295264623955
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-24T09:38:44.715555,984,658,4653,17.02317073170732,25.45714285714286
Amsterdam,19.4096629733812,-99.171524335536,2024-09-24T09:38:45.923356,238,247,987,14.929411764705883,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-24T09:38:47.143396,203,260,897,15.907389162561577,12.420000000000002
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-24T09:38:48.295084,108,111,768,25.6,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-24T09:38:49.506011,248,282,1220,17.70967741935484,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-24T09:38:50.661986,546,265,972,6.408791208791208,13.204528301886791
Salamanca,19.4218287295025,-99.170230063732,2024-09-24T09:38:51.849005,52,75,535,37.03846153846154,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-24T09:38:53.038139,307,282,954,11.186970684039089,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-24T09:38:54.224287,94,95,298,11.412765957446807,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-24T09:38:55.437322,48,55,156,11.7,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-24T10:08:56.740250,1001,442,2252,8.0991008991009,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-24T10:08:57.911526,284,192,1103,13.981690140845071,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-24T10:08:59.085849,1109,772,3284,10.660414788097384,15.313989637305701
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-24T10:09:00.398778,949,658,4653,17.65100105374078,25.45714285714286
Amsterdam,19.4096629733812,-99.171524335536,2024-09-24T10:09:01.671011,268,247,987,13.258208955223882,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-24T10:09:02.883266,198,260,897,16.30909090909091,12.420000000000002
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-24T10:09:04.200655,111,111,768,24.90810810810811,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-24T10:09:05.403005,246,282,1220,17.853658536585368,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-24T10:09:06.577638,509,265,972,6.874656188605107,13.204528301886791
Salamanca,19.4218287295025,-99.170230063732,2024-09-24T10:09:07.769682,58,75,535,33.20689655172414,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-24T10:09:08.977193,335,282,954,10.251940298507463,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-24T10:09:10.162012,92,95,298,11.66086956521739,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-24T10:09:11.370505,56,55,156,10.028571428571428,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-24T10:39:12.667711,689,442,2252,11.766618287373007,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-24T10:39:13.845201,310,192,1103,12.809032258064516,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-24T10:39:15.024918,922,623,3164,12.354013015184382,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-24T10:39:16.208244,798,632,5652,25.497744360902256,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-24T10:39:17.416069,254,247,987,13.988976377952756,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-24T10:39:18.644670,224,260,897,14.41607142857143,12.420000000000002
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-24T10:39:19.805727,144,111,768,19.2,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-24T10:39:21.151133,256,282,1220,17.15625,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-24T10:39:22.314597,584,272,1110,6.8424657534246585,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-24T10:39:23.504051,54,75,535,35.66666666666667,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-24T10:39:24.691705,323,282,954,10.6328173374613,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-24T10:39:25.902001,95,95,298,11.292631578947368,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-24T10:39:27.088260,58,55,156,9.682758620689656,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-24T11:09:28.295826,731,442,2252,11.090560875512997,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-24T11:09:29.468777,265,192,1103,14.984150943396227,20.68125
