Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-17T19:12:45.784428,590,442,2252,13.741016949152543,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-17T19:12:46.932440,179,192,1103,22.183240223463688,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-17T19:12:48.083671,866,623,3164,13.152886836027715,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-17T19:12:49.416138,1179,983,5526,16.873282442748092,20.23763987792472
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-17T19:12:50.587309,292,286,1575,19.417808219178085,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-17T19:12:51.754231,371,331,1424,13.817789757412399,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-17T19:12:52.907037,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-17T19:12:54.058269,156,180,615,14.192307692307692,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-17T19:12:55.209464,279,278,1050,13.548387096774194,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-17T19:12:56.338474,94,111,768,29.41276595744681,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-17T19:12:57.492236,425,272,1110,9.402352941176472,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-17T19:12:58.644128,234,236,967,14.876923076923076,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-17T19:42:59.927365,548,442,2252,14.794160583941606,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-17T19:43:01.095935,164,192,1103,24.21219512195122,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-17T19:43:02.254539,848,757,3327,14.124056603773585,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-17T19:43:03.408056,909,658,4653,18.427722772277228,25.45714285714286
