Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-20T19:48:42.667538,571,442,2252,14.198248686514887,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-20T19:48:43.883702,210,192,1103,18.908571428571427,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-20T19:48:45.090036,1089,772,3284,10.856198347107439,15.313989637305701
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-20T19:48:46.272644,949,632,5652,21.44067439409905,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-20T19:48:47.486797,347,286,1575,16.340057636887607,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-20T19:48:48.737308,340,331,1424,15.07764705882353,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-20T19:48:49.941666,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-20T19:48:51.121130,159,180,615,13.924528301886792,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-20T19:48:52.368378,308,278,1050,12.272727272727273,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-20T19:48:53.588278,136,111,768,20.32941176470588,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-20T19:48:54.967764,634,272,1110,6.302839116719244,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-20T19:48:56.174000,403,236,967,8.638213399503721,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-20T20:18:57.524218,788,442,2252,10.288324873096448,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-20T20:18:58.732375,206,192,1103,19.275728155339806,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-20T20:18:59.964761,1201,623,3164,9.484096586178184,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-20T20:19:01.161608,757,632,5652,26.87873183619551,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-20T20:19:02.369093,289,286,1575,19.619377162629757,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-20T20:19:03.602247,311,331,1424,16.48360128617363,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-20T20:19:04.811675,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-20T20:19:06.044871,161,180,615,13.751552795031056,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-20T20:19:07.257986,297,296,1181,14.315151515151515,14.363513513513514
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-20T20:19:08.435350,98,111,768,28.212244897959184,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-20T20:19:09.642010,646,272,1110,6.18575851393189,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-20T20:19:10.852532,478,236,967,7.282845188284519,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-20T20:49:12.212703,689,442,2252,11.766618287373007,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-20T20:49:13.399431,189,192,1103,21.00952380952381,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-20T20:49:14.610762,1094,757,3327,10.948080438756856,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-20T20:49:15.793014,627,632,5652,32.45167464114833,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-20T20:49:16.999088,281,286,1575,20.177935943060497,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-20T20:49:18.191603,313,331,1424,16.378274760383384,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-20T20:49:19.401742,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-20T20:49:20.587576,169,180,615,13.100591715976332,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-20T20:49:21.793103,277,278,1050,13.64620938628159,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-20T20:49:22.979584,113,111,768,24.46725663716814,24.90810810810811
