Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-26T10:04:15.564335,678,442,2252,11.957522123893806,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-26T10:04:16.744894,218,192,1103,18.214678899082568,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-26T10:04:17.918875,976,757,3327,12.271721311475408,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-26T10:04:19.095849,1213,658,4653,13.809398186314924,25.45714285714286
Amsterdam,19.4096629733812,-99.171524335536,2024-09-26T10:04:20.315765,244,247,987,14.562295081967212,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-26T10:04:21.524971,203,260,897,15.907389162561577,12.420000000000002
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-26T10:04:22.697881,104,111,768,26.584615384615386,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-26T10:04:23.895854,241,282,1220,18.224066390041493,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-26T10:04:25.080558,505,272,1110,7.912871287128714,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-26T10:04:26.448657,56,75,535,34.392857142857146,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-26T10:04:27.641385,435,282,954,7.895172413793104,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-26T10:04:28.855736,91,95,298,11.789010989010988,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-26T10:04:30.045294,44,55,156,12.763636363636364,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-26T10:34:31.360357,555,442,2252,14.607567567567568,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-26T10:34:32.532896,201,192,1103,19.755223880597015,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-26T10:34:33.712875,889,757,3327,13.472665916760405,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-26T10:34:34.891378,839,632,5652,24.251728247914187,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-26T10:34:36.078784,242,247,987,14.682644628099172,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-26T10:34:37.301090,252,254,1022,14.6,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-26T10:34:38.452212,110,111,768,25.134545454545457,24.90810810810811
