Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-14T18:36:39.252055,500,442,2252,16.2144,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-14T18:36:40.478001,190,192,1103,20.89894736842105,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-14T18:36:41.674082,694,623,3164,16.412680115273776,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-14T18:36:42.883534,598,632,5652,34.02541806020067,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-14T18:36:44.099514,298,286,1575,19.02684563758389,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-14T18:36:45.315366,325,331,1424,15.773538461538461,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-14T18:36:46.518076,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-14T18:36:47.717456,171,180,615,12.947368421052632,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-14T18:36:48.934847,279,278,1050,13.548387096774194,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-14T18:36:50.167179,94,111,768,29.41276595744681,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-14T18:36:51.370857,337,272,1110,11.857566765578635,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-14T18:36:52.577775,287,236,967,12.129616724738675,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-14T19:06:53.928156,502,442,2252,16.149800796812748,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-14T19:06:55.140022,239,192,1103,16.614225941422596,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-14T19:06:56.350856,672,623,3164,16.95,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-14T19:06:57.557437,592,632,5652,34.37027027027027,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-14T19:06:58.771351,271,286,1575,20.922509225092252,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-14T19:06:59.973569,323,331,1424,15.871207430340558,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-14T19:07:01.187971,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-14T19:07:02.388044,168,180,615,13.178571428571427,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-14T19:07:03.639466,285,278,1050,13.263157894736842,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-14T19:07:04.853726,95,111,768,29.103157894736842,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-14T19:07:06.035761,358,272,1110,11.162011173184359,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-14T19:07:07.262109,283,236,967,12.301060070671376,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-14T19:37:08.629299,454,442,2252,17.857268722466962,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-14T19:37:09.845664,195,192,1103,20.36307692307692,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-14T19:37:11.215886,671,623,3164,16.975260804769004,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-14T19:37:12.425061,607,632,5652,33.52092257001648,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-14T19:37:13.702745,276,286,1575,20.543478260869566,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-14T19:37:14.888065,308,331,1424,16.644155844155843,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-14T19:37:16.107366,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-14T19:37:17.293964,171,180,615,12.947368421052632,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-14T19:37:18.503333,281,278,1050,13.451957295373665,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-14T19:37:19.709558,98,111,768,28.212244897959184,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-14T19:37:20.904566,324,272,1110,12.333333333333336,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-14T19:37:22.102168,286,236,967,12.172027972027973,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-14T20:07:23.392778,498,442,2252,16.279518072289157,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-14T20:07:24.620495,187,192,1103,21.23422459893048,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-14T20:07:25.813967,692,623,3164,16.46011560693642,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-14T20:07:26.993444,610,632,5652,33.35606557377049,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-14T20:07:28.206095,272,286,1575,20.845588235294116,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-14T20:07:29.414445,300,331,1424,17.088,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-14T20:07:30.767780,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-14T20:07:31.987126,162,180,615,13.666666666666668,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-14T20:07:33.201208,269,278,1050,14.05204460966543,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-14T20:07:34.413579,94,111,768,29.41276595744681,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-14T20:07:35.622800,320,272,1110,12.4875,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-14T20:07:36.804162,290,236,967,12.004137931034482,14.750847457627117
