Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-13T18:24:34.866776,856,442,2252,9.471028037383178,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-13T18:24:36.085072,223,192,1103,17.80627802690583,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-13T18:24:37.311685,1054,757,3327,11.363567362428842,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-13T18:24:38.532052,884,777,4465,18.183257918552037,20.687258687258687
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-13T18:24:39.753311,286,286,1575,19.825174825174827,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-13T18:24:40.969062,329,331,1424,15.58176291793313,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-13T18:24:42.188454,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-13T18:24:43.444097,153,180,615,14.470588235294116,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-13T18:24:44.667074,285,278,1050,13.263157894736842,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-13T18:24:45.878358,106,111,768,26.08301886792453,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-13T18:24:47.093635,669,272,1110,5.973094170403589,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-13T18:24:48.304748,286,236,967,12.172027972027973,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-13T18:54:49.658399,737,442,2252,11.000271370420625,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-13T18:54:50.880653,200,192,1103,19.854,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-13T18:54:52.102640,1132,772,3284,10.44381625441696,15.313989637305701
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-13T18:54:53.341057,800,658,4653,20.938500000000005,25.45714285714286
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-13T18:54:54.573884,314,286,1575,18.05732484076433,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-13T18:54:55.795465,336,331,1424,15.257142857142856,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-13T18:54:57.028376,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-13T18:54:58.252707,156,180,615,14.192307692307692,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-13T18:54:59.689931,286,278,1050,13.216783216783218,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-13T18:55:00.887889,93,111,768,29.729032258064517,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-13T18:55:02.088155,569,272,1110,7.022847100175747,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-13T18:55:03.296658,277,236,967,12.567509025270759,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-13T19:25:04.851894,776,442,2252,10.447422680412371,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-13T19:25:06.308447,197,192,1103,20.156345177664974,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-13T19:25:07.532883,1081,772,3284,10.93654024051804,15.313989637305701
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-13T19:25:08.709619,815,632,5652,24.965889570552147,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-13T19:25:09.915040,299,286,1575,18.963210702341136,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-13T19:25:11.127717,333,331,1424,15.394594594594594,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-13T19:25:12.314449,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-13T19:25:13.692561,155,180,615,14.283870967741935,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-13T19:25:14.913160,323,278,1050,11.70278637770898,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-13T19:25:16.127699,92,111,768,30.05217391304348,24.90810810810811
