Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-21T09:00:01.655117,431,442,2252,18.81020881670534,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-21T09:00:02.968389,179,192,1103,22.183240223463688,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-21T09:00:04.157660,613,623,3164,18.581402936378467,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-21T09:00:05.399645,522,632,5652,38.97931034482759,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-21T09:00:06.754215,229,247,987,15.516157205240177,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-21T09:00:07.963712,240,254,1022,15.33,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-21T09:00:09.281400,87,111,768,31.779310344827586,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-21T09:00:10.491070,273,282,1220,16.087912087912088,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-21T09:00:11.644397,204,272,1110,19.58823529411765,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-21T09:00:12.834931,46,75,535,41.869565217391305,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-21T09:00:14.177178,342,282,954,10.042105263157895,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-21T09:00:15.362173,74,95,298,14.497297297297296,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-21T09:00:16.541874,56,55,156,10.028571428571428,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-21T09:30:17.855427,448,442,2252,18.096428571428575,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-21T09:30:19.029148,169,192,1103,23.49585798816568,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-21T09:30:20.355394,603,623,3164,18.88955223880597,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-21T09:30:21.509608,543,632,5652,37.471823204419884,32.19493670886076
