Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-18T19:24:48.445523,789,442,2252,10.275285171102663,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-18T19:24:49.660461,192,192,1103,20.68125,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-18T19:24:50.861370,1120,757,3327,10.693928571428572,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-18T19:24:52.051617,1175,658,4653,14.256000000000002,25.45714285714286
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-18T19:24:53.447349,303,286,1575,18.712871287128714,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-18T19:24:54.679895,341,331,1424,15.033431085043988,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-18T19:24:55.894193,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-18T19:24:57.096752,157,180,615,14.101910828025476,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-18T19:24:58.301209,298,278,1050,12.684563758389261,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-18T19:24:59.639421,98,111,768,28.212244897959184,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-18T19:25:00.830141,611,272,1110,6.540098199672668,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-18T19:25:02.043738,256,236,967,13.5984375,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-18T19:55:03.404565,691,442,2252,11.732561505065124,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-18T19:55:04.623403,192,192,1103,20.68125,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-18T19:55:05.834139,963,757,3327,12.437383177570092,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-18T19:55:07.036344,1311,777,4465,12.26086956521739,20.687258687258687
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-18T19:55:08.230046,291,286,1575,19.48453608247423,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-18T19:55:09.425344,335,331,1424,15.302686567164178,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-18T19:55:10.612002,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-18T19:55:11.803728,167,180,615,13.257485029940119,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-18T19:55:13.003181,338,278,1050,11.183431952662723,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-18T19:55:14.189285,98,111,768,28.212244897959184,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-18T19:55:15.387801,426,272,1110,9.380281690140846,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-18T19:55:16.605194,367,236,967,9.485558583106267,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-18T20:25:17.950539,530,442,2252,15.296603773584907,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-18T20:25:19.160399,187,192,1103,21.23422459893048,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-18T20:25:20.364648,939,757,3327,12.755271565495208,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-18T20:25:21.566537,826,658,4653,20.27941888619855,25.45714285714286
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-18T20:25:22.770648,275,286,1575,20.618181818181817,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-18T20:25:23.959676,320,331,1424,16.02,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-18T20:25:25.151283,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-18T20:25:26.351873,156,180,615,14.192307692307692,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-18T20:25:27.593027,277,278,1050,13.64620938628159,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-18T20:25:28.794941,102,111,768,27.10588235294118,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-18T20:25:30.008148,492,272,1110,8.121951219512196,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-18T20:25:31.347829,238,236,967,14.626890756302522,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-18T20:55:32.648037,492,442,2252,16.478048780487807,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-18T20:55:33.853772,179,192,1103,22.183240223463688,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-18T20:55:35.048238,787,757,3327,15.218805590851334,15.821928665785997
