Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-30T21:49:07.711541,419,442,2252,19.34892601431981,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-30T21:49:08.924782,166,192,1103,23.920481927710842,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-30T21:49:10.121882,530,623,3164,21.49132075471698,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-30T21:49:11.321576,542,632,5652,37.540959409594095,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-30T21:49:12.500897,253,286,1575,22.41106719367589,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-30T21:49:13.672808,282,331,1424,18.17872340425532,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-30T21:49:14.868997,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-30T21:49:16.199916,162,180,615,13.666666666666668,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-30T21:49:17.389669,234,278,1050,16.153846153846153,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-30T21:49:18.584540,93,111,768,29.729032258064517,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-30T21:49:19.765107,220,272,1110,18.163636363636368,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-30T21:49:20.977454,230,236,967,15.135652173913044,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-30T22:19:22.328727,434,442,2252,18.680184331797236,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-30T22:19:23.539297,154,192,1103,25.784415584415584,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-30T22:19:24.881244,591,623,3164,19.27309644670051,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-30T22:19:26.232238,520,632,5652,39.12923076923077,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-30T22:19:27.580952,264,286,1575,21.477272727272727,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-30T22:19:28.804171,265,331,1424,19.344905660377357,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-30T22:19:30.000840,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-30T22:19:31.197944,173,180,615,12.797687861271676,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-30T22:19:32.382224,224,278,1050,16.875,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-30T22:19:33.712095,111,111,768,24.90810810810811,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-30T22:19:34.907021,194,272,1110,20.5979381443299,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-30T22:19:36.237472,202,236,967,17.233663366336632,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-30T22:49:37.584431,402,442,2252,20.16716417910448,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-30T22:49:38.938898,164,192,1103,24.21219512195122,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-30T22:49:40.266845,485,623,3164,23.48536082474227,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-30T22:49:41.470903,503,632,5652,40.45168986083499,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-30T22:49:42.670836,228,286,1575,24.868421052631575,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-30T22:49:43.874036,263,331,1424,19.492015209125476,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-30T22:49:45.086943,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-30T22:49:46.422306,142,180,615,15.591549295774648,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-30T22:49:47.612961,268,278,1050,14.1044776119403,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-30T22:49:48.789488,93,111,768,29.729032258064517,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-30T22:49:50.139957,199,272,1110,20.080402010050253,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-30T22:49:51.357782,205,236,967,16.981463414634145,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-30T23:19:52.845224,346,442,2252,23.431213872832373,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-30T23:19:54.203021,146,192,1103,27.197260273972603,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-30T23:19:55.556937,499,623,3164,22.826452905811625,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-30T23:19:56.884064,480,632,5652,42.39,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-30T23:19:58.083830,214,286,1575,26.49532710280374,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-30T23:19:59.260814,235,331,1424,21.81446808510638,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-30T23:20:00.594227,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-30T23:20:01.943915,146,180,615,15.164383561643836,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-30T23:20:03.299610,251,278,1050,15.059760956175298,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-30T23:20:04.649028,93,111,768,29.729032258064517,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-30T23:20:05.983506,191,272,1110,20.92146596858639,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-30T23:20:07.190127,195,236,967,17.85230769230769,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-30T23:50:08.543870,344,442,2252,23.567441860465117,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-30T23:50:09.758059,138,192,1103,28.773913043478263,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-30T23:50:10.942247,463,623,3164,24.601295896328292,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-30T23:50:12.177752,462,632,5652,44.04155844155844,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-30T23:50:13.379564,233,286,1575,24.33476394849785,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-30T23:50:14.728616,223,331,1424,22.988340807174886,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-30T23:50:15.925259,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-30T23:50:17.123328,157,180,615,14.101910828025476,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-30T23:50:18.472477,213,278,1050,17.746478873239436,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-30T23:50:19.643313,96,111,768,28.799999999999997,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-30T23:50:20.820812,184,272,1110,21.717391304347828,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-30T23:50:22.149383,189,236,967,18.419047619047618,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-10-01T00:20:23.659687,313,442,2252,25.901597444089457,18.342081447963803
