Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-15T18:48:43.802022,427,442,2252,18.9864168618267,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-15T18:48:44.993557,173,192,1103,22.952601156069367,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-15T18:48:46.353077,578,623,3164,19.70657439446367,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-15T18:48:47.568340,535,632,5652,38.03214953271028,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-15T18:48:48.900062,302,338,1403,16.724503311258278,14.943195266272191
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-15T18:48:50.112690,351,365,1411,14.471794871794872,13.916712328767124
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-15T18:48:51.475461,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-15T18:48:52.706238,168,180,615,13.178571428571427,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-15T18:48:53.913075,277,278,1050,13.64620938628159,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-15T18:48:55.107915,94,111,768,29.41276595744681,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-15T18:48:56.308486,241,272,1110,16.58091286307054,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-15T18:48:57.492810,271,236,967,12.845756457564576,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-15T19:18:58.852862,397,442,2252,20.421158690176323,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-15T19:19:00.230430,168,192,1103,23.635714285714283,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-15T19:19:01.569650,612,623,3164,18.61176470588235,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-15T19:19:02.774152,582,632,5652,34.960824742268045,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-15T19:19:04.147184,268,286,1575,21.15671641791045,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-15T19:19:05.362596,365,365,1411,13.916712328767124,13.916712328767124
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-15T19:19:06.708132,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-15T19:19:07.915586,164,180,615,13.5,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-15T19:19:09.260893,257,278,1050,14.708171206225682,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-15T19:19:10.604825,95,111,768,29.103157894736842,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-15T19:19:11.957750,247,272,1110,16.178137651821864,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-15T19:19:13.150900,258,236,967,13.493023255813952,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-15T19:49:14.644252,408,442,2252,19.87058823529412,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-15T19:49:15.832767,177,192,1103,22.433898305084746,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-15T19:49:17.043266,581,623,3164,19.604819277108433,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-15T19:49:18.265077,521,632,5652,39.05412667946257,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-15T19:49:19.447382,256,286,1575,22.1484375,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-15T19:49:20.662049,346,365,1411,14.68092485549133,13.916712328767124
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-15T19:49:21.879924,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-15T19:49:23.084523,166,180,615,13.337349397590362,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-15T19:49:24.280356,313,342,1236,14.215974440894568,13.010526315789473
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-15T19:49:25.466114,96,111,768,28.799999999999997,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-15T19:49:26.668438,242,272,1110,16.51239669421488,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-15T19:49:27.849580,251,236,967,13.869322709163345,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-15T20:19:29.355292,378,442,2252,21.44761904761905,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-15T20:19:30.720294,160,192,1103,24.8175,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-15T20:19:31.927017,583,623,3164,19.537564322469983,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-15T20:19:33.124323,557,632,5652,36.52998204667863,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-15T20:19:34.318462,245,286,1575,23.142857142857146,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-15T20:19:35.504594,277,331,1424,18.506859205776173,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-15T20:19:36.696707,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-15T20:19:37.907009,163,180,615,13.582822085889571,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-15T20:19:39.099053,251,278,1050,15.059760956175298,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-15T20:19:40.298612,95,111,768,29.103157894736842,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-15T20:19:41.494546,232,272,1110,17.224137931034484,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-15T20:19:42.738636,261,236,967,13.337931034482759,14.750847457627117
