Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-23T20:24:59.628686,465,442,2252,17.434838709677418,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-23T20:25:00.983986,175,192,1103,22.690285714285714,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-23T20:25:02.192560,776,623,3164,14.678350515463919,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-23T20:25:03.401376,618,658,4653,27.104854368932042,25.45714285714286
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-23T20:25:04.624297,257,286,1575,22.06225680933852,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-23T20:25:05.982411,295,331,1424,17.377627118644067,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-23T20:25:07.192548,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-23T20:25:08.404772,151,180,615,14.66225165562914,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-23T20:25:09.610258,266,278,1050,14.210526315789474,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-23T20:25:10.802527,94,111,768,29.41276595744681,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-23T20:25:11.992488,279,272,1110,14.322580645161292,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-23T20:25:13.197260,232,236,967,15.005172413793103,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-23T20:55:14.701356,454,442,2252,17.857268722466962,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-23T20:55:16.071316,175,192,1103,22.690285714285714,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-23T20:55:17.290055,639,623,3164,17.825352112676057,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-23T20:55:18.496781,596,632,5652,34.13959731543624,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-23T20:55:19.706930,253,286,1575,22.41106719367589,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-23T20:55:20.905811,290,331,1424,17.677241379310342,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-23T20:55:22.292859,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-23T20:55:23.519045,163,180,615,13.582822085889571,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-23T20:55:24.702476,253,278,1050,14.940711462450595,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-23T20:55:25.907703,95,111,768,29.103157894736842,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-23T20:55:27.383274,251,272,1110,15.920318725099602,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-23T20:55:28.719966,236,236,967,14.750847457627117,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-23T21:25:30.079494,420,442,2252,19.302857142857146,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-23T21:25:31.447669,171,192,1103,23.221052631578946,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-23T21:25:32.659751,616,623,3164,18.490909090909092,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-23T21:25:34.028250,596,632,5652,34.13959731543624,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-23T21:25:35.219506,245,286,1575,23.142857142857146,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-23T21:25:36.407930,281,331,1424,18.24341637010676,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-23T21:25:37.621655,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-23T21:25:38.825084,162,180,615,13.666666666666668,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-23T21:25:40.014447,258,278,1050,14.651162790697674,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-23T21:25:41.220780,94,111,768,29.41276595744681,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-23T21:25:42.410835,229,272,1110,17.44978165938865,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-23T21:25:43.614315,213,236,967,16.343661971830986,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-23T21:55:44.974370,429,442,2252,18.8979020979021,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-23T21:55:46.338222,175,192,1103,22.690285714285714,20.68125
