Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-28T10:29:48.234210,530,442,2252,15.296603773584907,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-28T10:29:49.401927,169,192,1103,23.49585798816568,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-28T10:29:50.728537,797,623,3164,14.29159347553325,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-28T10:29:51.903028,605,632,5652,33.63173553719008,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-28T10:29:53.117694,231,247,987,15.381818181818183,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-28T10:29:54.317298,239,254,1022,15.394142259414227,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-28T10:29:55.464236,98,111,768,28.212244897959184,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-28T10:29:56.660467,234,282,1220,18.769230769230766,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-28T10:29:57.826314,302,272,1110,13.2317880794702,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-28T10:29:59.031908,53,75,535,36.339622641509436,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-28T10:30:00.441777,271,282,954,12.673062730627308,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-28T10:30:01.652373,100,95,298,10.728,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-28T10:30:02.844477,53,55,156,10.59622641509434,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-28T11:00:04.158024,535,442,2252,15.153644859813086,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-28T11:00:05.318980,167,192,1103,23.777245508982034,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-28T11:00:06.487380,756,623,3164,15.066666666666668,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-28T11:00:07.658974,582,632,5652,34.960824742268045,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-28T11:00:08.875845,333,247,987,10.67027027027027,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-28T11:00:10.073522,262,260,897,12.325190839694658,12.420000000000002
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-28T11:00:11.201338,100,111,768,27.648000000000003,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-28T11:00:12.418343,239,282,1220,18.376569037656903,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-28T11:00:13.586099,292,272,1110,13.684931506849317,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-28T11:00:14.808025,55,75,535,35.01818181818182,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-28T11:00:16.007192,283,282,954,12.135689045936395,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-28T11:00:17.203860,88,95,298,12.19090909090909,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-28T11:00:18.403403,52,55,156,10.8,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-28T11:30:19.625095,509,442,2252,15.92770137524558,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-28T11:30:20.783011,196,192,1103,20.259183673469387,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-28T11:30:21.967524,810,757,3327,14.786666666666665,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-28T11:30:23.126364,607,632,5652,33.52092257001648,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-28T11:30:24.349158,251,247,987,14.15617529880478,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-28T11:30:25.563462,255,254,1022,14.428235294117648,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-28T11:30:26.861368,106,111,768,26.08301886792453,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-28T11:30:28.055909,247,282,1220,17.781376518218625,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-28T11:30:29.207385,358,272,1110,11.162011173184359,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-28T11:30:30.399847,63,75,535,30.57142857142857,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-28T11:30:31.588444,303,282,954,11.334653465346536,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-28T11:30:32.789494,90,95,298,11.919999999999998,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-28T11:30:33.987116,54,55,156,10.4,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-28T12:00:35.257482,567,442,2252,14.2984126984127,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-28T12:00:36.582699,200,192,1103,19.854,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-28T12:00:37.759614,818,757,3327,14.642053789731051,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-28T12:00:38.934706,599,632,5652,33.968614357262105,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-28T12:00:40.295957,275,247,987,12.920727272727271,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-28T12:00:41.514858,273,254,1022,13.476923076923077,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-28T12:00:42.691548,112,111,768,24.685714285714287,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-28T12:00:43.900097,251,282,1220,17.49800796812749,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-28T12:00:45.056196,391,272,1110,10.21994884910486,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-28T12:00:46.264983,79,75,535,24.37974683544304,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-28T12:00:47.483701,316,282,954,10.868354430379748,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-28T12:00:48.694139,86,95,298,12.474418604651161,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-28T12:00:49.882732,62,55,156,9.058064516129033,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-28T12:30:51.158770,554,442,2252,14.633935018050543,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-28T12:30:52.321288,191,192,1103,20.789528795811517,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-28T12:30:53.499985,876,757,3327,13.672602739726026,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-28T12:30:54.671603,653,658,4653,25.652067381317003,25.45714285714286
Amsterdam,19.4096629733812,-99.171524335536,2024-09-28T12:30:55.882905,274,247,987,12.967883211678831,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-28T12:30:57.082942,278,254,1022,13.23453237410072,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-28T12:30:58.211769,103,111,768,26.842718446601943,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-28T12:30:59.427307,264,282,1220,16.636363636363637,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-28T12:31:00.594270,388,272,1110,10.29896907216495,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-28T12:31:01.805727,75,75,535,25.680000000000003,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-28T12:31:03.000929,342,282,954,10.042105263157895,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-28T12:31:04.382357,83,95,298,12.925301204819277,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-28T12:31:05.568858,55,55,156,10.210909090909091,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-28T13:01:06.839142,583,442,2252,13.906003430531733,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-28T13:01:08.014700,195,192,1103,20.36307692307692,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-28T13:01:09.166947,987,757,3327,12.134954407294833,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-28T13:01:10.503944,669,658,4653,25.03856502242153,25.45714285714286
Amsterdam,19.4096629733812,-99.171524335536,2024-09-28T13:01:11.696928,256,247,987,13.8796875,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-28T13:01:12.887183,263,254,1022,13.989353612167301,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-28T13:01:14.061112,105,111,768,26.33142857142857,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-28T13:01:15.260868,278,282,1220,15.798561151079136,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-28T13:01:16.431328,477,272,1110,8.377358490566039,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-28T13:01:17.631966,86,75,535,22.3953488372093,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-28T13:01:18.819771,375,282,954,9.1584,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-28T13:01:20.019485,145,95,298,7.398620689655171,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-28T13:01:21.206232,62,55,156,9.058064516129033,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-28T13:31:22.464009,562,442,2252,14.425622775800713,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-28T13:31:23.626935,185,192,1103,21.463783783783786,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-28T13:31:24.796637,848,757,3327,14.124056603773585,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-28T13:31:25.978191,708,632,5652,28.73898305084746,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-28T13:31:27.185836,279,247,987,12.735483870967743,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-28T13:31:28.371914,282,254,1022,13.046808510638296,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-28T13:31:29.506325,111,111,768,24.90810810810811,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-28T13:31:30.712453,276,282,1220,15.913043478260871,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-28T13:31:31.859676,367,272,1110,10.888283378746594,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-28T13:31:33.067101,69,75,535,27.913043478260875,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-28T13:31:34.263241,327,282,954,10.502752293577982,12.178723404255319
