Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-29T10:42:38.022165,470,442,2252,17.24936170212766,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-29T10:42:39.192149,155,192,1103,25.61806451612903,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-29T10:42:40.374926,651,623,3164,17.496774193548386,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-29T10:42:41.713506,504,632,5652,40.37142857142857,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-29T10:42:43.058934,245,247,987,14.502857142857144,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-29T10:42:44.270306,253,254,1022,14.542292490118578,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-29T10:42:45.419099,94,111,768,29.41276595744681,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-29T10:42:46.623264,264,310,1101,15.013636363636364,12.785806451612903
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-29T10:42:47.774938,200,272,1110,19.980000000000004,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-29T10:42:48.958255,65,75,535,29.630769230769236,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-29T10:42:50.150899,267,282,954,12.862921348314607,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-29T10:42:51.354316,80,95,298,13.409999999999998,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-29T10:42:52.557715,53,55,156,10.59622641509434,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-29T11:12:53.881303,461,442,2252,17.586117136659436,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-29T11:12:55.055734,171,192,1103,23.221052631578946,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-29T11:12:56.258217,628,623,3164,18.137579617834394,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-29T11:12:57.593754,522,632,5652,38.97931034482759,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-29T11:12:58.800659,233,247,987,15.249785407725321,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-29T11:13:00.148896,242,254,1022,15.203305785123966,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-29T11:13:01.305987,92,111,768,30.05217391304348,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-29T11:13:02.502356,274,310,1101,14.465693430656934,12.785806451612903
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-29T11:13:03.648660,209,272,1110,19.119617224880386,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-29T11:13:04.857213,66,75,535,29.181818181818183,25.680000000000003
