Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-30T10:55:30.569960,593,442,2252,13.671500843170323,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-30T10:55:31.735035,196,192,1103,20.259183673469387,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-30T10:55:32.875844,785,623,3164,14.510063694267517,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-30T10:55:34.045681,684,632,5652,29.74736842105263,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-30T10:55:35.262647,248,247,987,14.32741935483871,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-30T10:55:36.485830,216,260,897,14.950000000000001,12.420000000000002
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-30T10:55:37.658725,101,111,768,27.374257425742574,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-30T10:55:38.878682,352,282,1220,12.477272727272727,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-30T10:55:40.035635,432,272,1110,9.250000000000002,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-30T10:55:41.234929,58,75,535,33.20689655172414,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-30T10:55:42.429707,318,282,954,10.8,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-30T10:55:43.629311,82,95,298,13.082926829268292,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-30T10:55:44.967052,51,55,156,11.011764705882353,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-30T11:25:46.262694,593,442,2252,13.671500843170323,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-30T11:25:47.435704,194,192,1103,20.4680412371134,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-30T11:25:48.615297,829,623,3164,13.739927623642943,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-30T11:25:49.798276,669,632,5652,30.414349775784757,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-30T11:25:50.994992,245,247,987,14.502857142857144,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-30T11:25:52.365241,254,254,1022,14.485039370078741,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-30T11:25:53.657263,98,111,768,28.212244897959184,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-30T11:25:54.888444,233,282,1220,18.84978540772532,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-30T11:25:56.037440,332,272,1110,12.036144578313255,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-30T11:25:57.248861,65,75,535,29.630769230769236,25.680000000000003
