Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-13T19:33:01.285446,767,442,2252,10.57001303780965,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-13T19:33:02.465851,230,192,1103,17.264347826086958,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-13T19:33:03.805491,1045,757,3327,11.461435406698563,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-13T19:33:04.984781,798,658,4653,20.990977443609022,25.45714285714286
Amsterdam,19.4096629733812,-99.171524335536,2024-09-13T19:33:06.198484,249,247,987,14.269879518072289,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-13T19:33:07.427605,265,254,1022,13.88377358490566,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-13T19:33:08.564594,100,111,768,27.648000000000003,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-13T19:33:09.792796,282,310,1101,14.055319148936169,12.785806451612903
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-13T19:33:10.974151,646,272,1110,6.18575851393189,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-13T19:33:12.169301,233,75,535,8.266094420600858,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-13T19:33:13.389614,353,282,954,9.729178470254958,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-13T19:33:14.746648,116,95,298,9.248275862068965,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-13T19:33:15.958027,65,55,156,8.64,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-13T20:03:17.266085,764,442,2252,10.61151832460733,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-13T20:03:18.440594,191,192,1103,20.789528795811517,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-13T20:03:19.609849,1172,757,3327,10.219453924914676,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-13T20:03:20.786074,751,658,4653,22.304660452729696,25.45714285714286
Amsterdam,19.4096629733812,-99.171524335536,2024-09-13T20:03:22.030600,409,247,987,8.687530562347188,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-13T20:03:23.285384,341,260,897,9.469794721407625,12.420000000000002
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-13T20:03:24.431285,91,111,768,30.382417582417585,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-13T20:03:25.620901,284,310,1101,13.956338028169014,12.785806451612903
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-13T20:03:26.774221,523,272,1110,7.640535372848949,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-13T20:03:28.004876,96,75,535,20.0625,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-13T20:03:29.208333,350,282,954,9.81257142857143,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-13T20:03:30.400968,99,95,298,10.836363636363636,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-13T20:03:31.652101,72,55,156,7.8,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-13T20:33:32.924899,670,442,2252,12.100298507462687,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-13T20:33:34.105710,200,192,1103,19.854,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-13T20:33:35.282480,1027,772,3284,11.511587147030186,15.313989637305701
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-13T20:33:36.483501,762,632,5652,26.70236220472441,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-13T20:33:37.722104,266,247,987,13.357894736842104,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-13T20:33:38.928560,297,254,1022,12.387878787878787,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-13T20:33:40.077202,95,111,768,29.103157894736842,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-13T20:33:41.335424,319,282,1220,13.768025078369906,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-13T20:33:42.547274,749,272,1110,5.335113484646196,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-13T20:33:43.753560,221,75,535,8.714932126696834,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-13T20:33:44.973645,321,282,954,10.699065420560748,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-13T20:33:46.168699,96,95,298,11.174999999999999,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-13T20:33:47.368243,59,55,156,9.51864406779661,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-13T21:03:48.633547,680,442,2252,11.922352941176472,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-13T21:03:49.816639,203,192,1103,19.560591133004927,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-13T21:03:51.011834,1114,757,3327,10.751526032315978,15.821928665785997
