Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-16T19:00:53.745147,483,442,2252,16.785093167701866,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-16T19:00:54.956891,174,192,1103,22.820689655172412,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-16T19:00:56.138845,692,623,3164,16.46011560693642,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-16T19:00:57.347055,595,632,5652,34.19697478991597,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-16T19:00:58.680010,286,286,1575,19.825174825174827,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-16T19:00:59.877772,320,331,1424,16.02,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-16T19:01:01.079418,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-16T19:01:02.277846,150,180,615,14.76,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-16T19:01:03.485371,263,278,1050,14.372623574144487,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-16T19:01:04.658105,97,111,768,28.503092783505156,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-16T19:01:05.871144,248,272,1110,16.112903225806452,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-16T19:01:07.051112,232,236,967,15.005172413793103,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-16T19:31:08.421673,443,442,2252,18.300677200902935,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-16T19:31:09.651072,174,192,1103,22.820689655172412,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-16T19:31:10.876696,742,623,3164,15.350943396226416,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-16T19:31:12.084132,591,632,5652,34.42842639593909,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-16T19:31:13.293647,260,286,1575,21.80769230769231,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-16T19:31:14.512719,313,331,1424,16.378274760383384,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-16T19:31:15.709942,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-16T19:31:16.904982,148,180,615,14.95945945945946,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-16T19:31:18.108569,261,278,1050,14.482758620689657,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-16T19:31:19.300032,98,111,768,28.212244897959184,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-16T19:31:20.496724,280,272,1110,14.271428571428572,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-16T19:31:21.710157,226,236,967,15.403539823008849,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-16T20:01:23.066167,434,442,2252,18.680184331797236,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-16T20:01:24.286622,179,192,1103,22.183240223463688,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-16T20:01:25.501653,745,623,3164,15.289127516778525,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-16T20:01:26.708419,592,632,5652,34.37027027027027,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-16T20:01:27.921031,271,286,1575,20.922509225092252,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-16T20:01:29.120632,309,331,1424,16.59029126213592,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-16T20:01:30.316407,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-16T20:01:31.501393,148,180,615,14.95945945945946,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-16T20:01:32.696845,254,278,1050,14.88188976377953,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-16T20:01:33.906709,97,111,768,28.503092783505156,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-16T20:01:35.096802,271,272,1110,14.74538745387454,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-16T20:01:36.294837,244,236,967,14.267213114754096,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-16T20:31:37.652400,413,442,2252,19.63002421307506,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-16T20:31:38.894035,181,192,1103,21.938121546961327,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-16T20:31:40.097170,678,623,3164,16.8,18.283146067415732
