Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-27T10:16:59.923262,604,442,2252,13.422516556291392,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-27T10:17:01.099743,219,192,1103,18.131506849315066,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-27T10:17:02.269146,849,623,3164,13.41625441696113,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-27T10:17:03.453981,984,632,5652,20.678048780487806,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-27T10:17:04.650055,267,247,987,13.307865168539324,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-27T10:17:05.849083,220,260,897,14.67818181818182,12.420000000000002
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-27T10:17:07.029221,104,111,768,26.584615384615386,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-27T10:17:08.247066,245,282,1220,17.9265306122449,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-27T10:17:09.416004,439,272,1110,9.102505694760822,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-27T10:17:10.619061,66,75,535,29.181818181818183,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-27T10:17:11.806012,304,282,954,11.297368421052632,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-27T10:17:13.029913,88,95,298,12.19090909090909,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-27T10:17:14.227374,54,55,156,10.4,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-27T10:47:15.659768,653,442,2252,12.415313935681473,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-27T10:47:16.831989,202,192,1103,19.657425742574258,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-27T10:47:18.011418,741,623,3164,15.37165991902834,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-27T10:47:19.192469,744,632,5652,27.348387096774193,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-27T10:47:20.572552,231,247,987,15.381818181818183,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-27T10:47:21.802573,233,254,1022,15.790557939914164,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-27T10:47:22.937428,96,111,768,28.799999999999997,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-27T10:47:24.142650,242,282,1220,18.14876033057851,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-27T10:47:25.458074,408,272,1110,9.794117647058824,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-27T10:47:26.670371,75,75,535,25.680000000000003,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-27T10:47:27.863947,307,282,954,11.186970684039089,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-27T10:47:29.063433,85,95,298,12.621176470588235,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-27T10:47:30.259812,55,55,156,10.210909090909091,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-27T11:17:31.522023,557,442,2252,14.55511669658887,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-27T11:17:32.766956,192,192,1103,20.68125,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-27T11:17:33.959111,752,757,3327,15.927127659574467,15.821928665785997
