Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-10-01T11:08:20.573251,519,442,2252,15.620809248554915,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-10-01T11:08:21.751804,166,192,1103,23.920481927710842,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-10-01T11:08:22.938094,618,623,3164,18.43106796116505,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-10-01T11:08:24.115073,632,632,5652,32.19493670886076,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-10-01T11:08:25.346010,243,247,987,14.622222222222222,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-10-01T11:08:26.563283,254,254,1022,14.485039370078741,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-10-01T11:08:27.702584,94,111,768,29.41276595744681,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-10-01T11:08:28.959563,255,282,1220,17.223529411764705,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-10-01T11:08:30.126210,292,272,1110,13.684931506849317,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-10-01T11:08:31.340862,59,75,535,32.644067796610166,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-10-01T11:08:32.666385,284,282,954,12.092957746478875,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-10-01T11:08:33.881032,104,95,298,10.315384615384616,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-10-01T11:08:35.253126,51,55,156,11.011764705882353,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-10-01T11:38:36.557926,480,442,2252,16.89,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-10-01T11:38:37.731354,164,192,1103,24.21219512195122,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-10-01T11:38:38.919997,811,772,3284,14.57755856966708,15.313989637305701
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-10-01T11:38:40.098772,538,632,5652,37.82007434944238,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-10-01T11:38:41.333130,253,247,987,14.044268774703559,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-10-01T11:38:42.554694,262,254,1022,14.042748091603054,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-10-01T11:38:43.898449,95,111,768,29.103157894736842,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-10-01T11:38:45.097672,309,282,1220,14.21359223300971,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-10-01T11:38:46.288549,297,272,1110,13.454545454545455,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-10-01T11:38:47.494132,67,75,535,28.74626865671642,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-10-01T11:38:48.696322,285,282,954,12.050526315789476,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-10-01T11:38:49.883272,89,95,298,12.053932584269663,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-10-01T11:38:51.075895,57,55,156,9.852631578947367,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-10-01T12:08:52.300831,525,442,2252,15.442285714285715,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-10-01T12:08:53.470936,156,192,1103,25.453846153846154,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-10-01T12:08:54.657451,837,718,3683,15.840860215053764,18.466295264623955
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-10-01T12:08:55.815449,580,632,5652,35.08137931034483,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-10-01T12:08:57.036875,246,247,987,14.443902439024392,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-10-01T12:08:58.258737,252,254,1022,14.6,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-10-01T12:08:59.567323,96,111,768,28.799999999999997,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-10-01T12:09:00.759065,259,282,1220,16.957528957528957,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-10-01T12:09:01.930842,298,272,1110,13.409395973154362,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-10-01T12:09:03.133670,74,75,535,26.027027027027028,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-10-01T12:09:04.329548,279,282,954,12.30967741935484,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-10-01T12:09:05.520703,89,95,298,12.053932584269663,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-10-01T12:09:06.740212,61,55,156,9.20655737704918,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-10-01T12:39:08.018498,494,442,2252,16.411336032388665,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-10-01T12:39:09.193863,157,192,1103,25.291719745222927,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-10-01T12:39:10.392435,783,757,3327,15.296551724137931,15.821928665785997
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-10-01T12:39:11.573172,593,632,5652,34.31231028667791,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-10-01T12:39:12.800303,241,247,987,14.74356846473029,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-10-01T12:39:14.013559,249,254,1022,14.775903614457832,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-10-01T12:39:15.188239,97,111,768,28.503092783505156,24.90810810810811
