Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-28T21:25:00.007165,511,442,2252,15.865362035225049,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-28T21:25:01.215086,186,192,1103,21.348387096774193,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-28T21:25:02.415490,668,623,3164,17.051497005988026,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-28T21:25:03.607795,584,632,5652,34.84109589041096,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-28T21:25:04.801219,284,286,1575,19.964788732394368,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-28T21:25:06.005979,303,331,1424,16.91881188118812,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-28T21:25:07.211487,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-28T21:25:08.389666,175,180,615,12.651428571428571,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-28T21:25:09.579920,275,278,1050,13.745454545454544,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-28T21:25:10.771812,98,111,768,28.212244897959184,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-28T21:25:11.970099,321,272,1110,12.448598130841122,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-28T21:25:13.171790,244,236,967,14.267213114754096,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-28T21:55:14.474794,467,442,2252,17.360171306209853,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-28T21:55:15.685729,175,192,1103,22.690285714285714,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-28T21:55:16.887987,657,623,3164,17.336986301369866,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-28T21:55:18.243365,573,632,5652,35.509947643979054,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-28T21:55:19.438328,268,286,1575,21.15671641791045,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-28T21:55:20.654836,302,331,1424,16.97483443708609,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-28T21:55:22.000669,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-28T21:55:23.216599,160,180,615,13.837499999999999,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-28T21:55:24.407046,265,278,1050,14.264150943396226,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-28T21:55:25.603669,94,111,768,29.41276595744681,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-28T21:55:26.807047,274,272,1110,14.583941605839417,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-28T21:55:27.992569,251,236,967,13.869322709163345,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-28T22:25:29.490946,460,442,2252,17.62434782608696,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-28T22:25:30.734068,169,192,1103,23.49585798816568,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-28T22:25:31.945194,607,623,3164,18.76507413509061,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-28T22:25:33.320555,572,632,5652,35.572027972027975,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-28T22:25:34.512505,240,286,1575,23.625,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-28T22:25:35.721316,293,331,1424,17.496245733788395,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-28T22:25:36.910072,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-28T22:25:38.107820,166,180,615,13.337349397590362,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-28T22:25:39.300395,269,278,1050,14.05204460966543,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-28T22:25:40.499131,98,111,768,28.212244897959184,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-28T22:25:41.685194,306,272,1110,13.058823529411764,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-28T22:25:42.892361,243,236,967,14.325925925925924,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-28T22:55:44.415670,425,442,2252,19.075764705882357,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-28T22:55:45.631395,159,192,1103,24.973584905660378,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-28T22:55:46.985763,570,623,3164,19.983157894736845,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-28T22:55:48.194477,541,632,5652,37.61035120147874,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-28T22:55:49.548801,254,286,1575,22.322834645669293,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-28T22:55:50.751098,271,331,1424,18.91660516605166,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-28T22:55:51.937992,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-28T22:55:53.290826,154,180,615,14.376623376623376,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-28T22:55:54.480918,250,278,1050,15.12,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-28T22:55:55.684059,88,111,768,31.418181818181818,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-28T22:55:56.865267,250,272,1110,15.984,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-28T22:55:58.044872,214,236,967,16.267289719626167,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-28T23:25:59.356382,415,442,2252,19.53542168674699,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-28T23:26:00.711297,161,192,1103,24.663354037267084,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-28T23:26:01.915754,541,623,3164,21.054343807763402,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-28T23:26:03.115397,537,632,5652,37.890502793296086,32.19493670886076
