Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-23T09:25:36.658993,592,442,2252,13.694594594594596,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-23T09:25:37.850821,241,192,1103,16.47634854771784,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-23T09:25:39.022173,883,623,3164,12.899660249150623,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-23T09:25:40.220338,1047,632,5652,19.43381088825215,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-23T09:25:41.423293,235,247,987,15.12,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-23T09:25:42.625606,196,260,897,16.475510204081633,12.420000000000002
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-23T09:25:43.757243,100,111,768,27.648000000000003,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-23T09:25:44.968301,240,282,1220,18.3,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-23T09:25:46.123044,480,272,1110,8.325000000000001,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-23T09:25:47.460923,56,75,535,34.392857142857146,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-23T09:25:48.646893,298,282,954,11.5248322147651,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-23T09:25:49.834904,92,95,298,11.66086956521739,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-23T09:25:51.044569,53,55,156,10.59622641509434,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-23T09:55:52.259936,735,442,2252,11.030204081632654,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-23T09:55:53.433838,210,192,1103,18.908571428571427,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-23T09:55:54.603054,831,718,3683,15.955234657039712,18.466295264623955
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-23T09:55:55.793906,962,632,5652,21.15093555093555,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-23T09:55:57.040512,256,247,987,13.8796875,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-23T09:55:58.256644,201,260,897,16.065671641791045,12.420000000000002
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-23T09:55:59.443954,97,111,768,28.503092783505156,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-23T09:56:00.798835,243,282,1220,18.074074074074073,15.574468085106382
