Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-29T21:37:04.854660,401,442,2252,20.217456359102247,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-29T21:37:06.069688,149,192,1103,26.649664429530198,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-29T21:37:07.280266,571,623,3164,19.94816112084063,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-29T21:37:08.470762,507,632,5652,40.13254437869823,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-29T21:37:09.695462,249,286,1575,22.771084337349397,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-29T21:37:10.899958,327,365,1411,15.53394495412844,13.916712328767124
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-29T21:37:12.119368,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-29T21:37:13.328789,168,180,615,13.178571428571427,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-29T21:37:14.518492,240,278,1050,15.75,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-29T21:37:15.707127,98,111,768,28.212244897959184,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-29T21:37:16.908987,220,272,1110,18.163636363636368,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-29T21:37:18.111898,219,236,967,15.895890410958902,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-29T22:07:19.625195,360,442,2252,22.52,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-29T22:07:20.995595,144,192,1103,27.575,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-29T22:07:22.190035,523,623,3164,21.778967495219884,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-29T22:07:23.379079,496,632,5652,41.02258064516129,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-29T22:07:24.593325,242,286,1575,23.4297520661157,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-29T22:07:25.810211,314,365,1411,16.177070063694266,13.916712328767124
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-29T22:07:27.019613,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-29T22:07:28.223653,155,180,615,14.283870967741935,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-29T22:07:29.422553,241,278,1050,15.684647302904565,13.597122302158274
